0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.532516] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.536626] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.542759] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.546868] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.553035] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.555090] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.563312] 
0.0530935236842 0.0333347465776 -0.119077616427 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.567425] 
0.0530935236842 0.0333347465776 -0.119077616427 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.571515] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.579729] 
