0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.768967] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.773138] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.777244] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.781352] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.787514] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.791626] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.795730] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.801887] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.805956] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.810066] 
